investor_name,investor_type,category_code,number_of_investments
Intel Capital,FinancialOrg,Unknown,529
New Enterprise Associates,FinancialOrg,Unknown,515
Sequoia Capital,FinancialOrg,Unknown,507
SV Angel,FinancialOrg,Unknown,484
Accel Partners,FinancialOrg,Unknown,480
Kleiner Perkins Caufield & Byers,FinancialOrg,Unknown,478
Y Combinator,Company,finance,478
Draper Fisher Jurvetson (DFJ),FinancialOrg,Unknown,462
500 Startups,FinancialOrg,Unknown,364
First Round Capital,FinancialOrg,Unknown,361
