id,object_id,valuation_amount,raised_amount,public_at,stock_symbol,source_description,created_at,updated_at,ipo_year,ipo_month
61,c:28,0.0,0.0,1990-02-23,NASDAQ:CSCO,,2008-12-10 19:19:25,2012-04-12 04:17:28,1990,2
65,c:5208,0.0,0.0,1999-01-29,NASDAQ:NVDA,,2008-12-10 19:34:17,2012-04-16 03:16:41,1999,1
67,c:71,0.0,0.0,1978-01-13,NASDAQ:INTC,,2008-12-10 19:38:50,2012-04-12 03:53:33,1978,1
68,c:15609,108960000000.0,0.0,2008-12-17,3632,,2008-12-22 21:31:45,2010-10-08 06:47:07,2008,12
70,c:3161,5440000000.0,0.0,2011-11-07,RAX,,2009-01-14 20:52:52,2011-11-08 09:34:40,2011,11
72,c:2334,0.0,0.0,1999-09-01,TIVO,,2009-01-20 23:07:01,2009-01-20 23:07:55,1999,9
73,c:1926,0.0,0.0,2007-04-03,SCOR,,2009-01-20 23:26:59,2009-01-20 23:27:51,2007,4
74,c:4019,0.0,0.0,2000-04-13,NASDAQ:SINA,,2009-01-20 23:41:16,2012-04-10 04:16:17,2000,4
75,c:17289,0.0,0.0,1999-06-01,QPSA (AMEX),,2009-01-20 23:43:47,2011-11-13 18:47:48,1999,6
76,c:5040,0.0,0.0,1993-11-05,NASDAQ:ATVI,,2009-01-20 23:47:12,2012-04-16 02:44:34,1993,11
77,c:5182,0.0,0.0,1990-01-02,NASDAQ:ADSK,,2009-01-20 23:59:17,2012-04-11 04:14:31,1990,1
78,c:7030,0.0,0.0,1996-07-05,NASDAQ:CHKP,,2009-01-27 20:44:23,2012-04-13 05:12:49,1996,7
79,c:6292,0.0,0.0,1998-10-16,NYSE:GIB,akxZoAgo,2009-01-27 21:02:04,2012-07-28 04:16:47,1998,10
80,c:12287,0.0,0.0,2000-03-01,NASDAQ:WBSN,,2009-01-27 22:35:29,2010-03-09 18:41:11,2000,3
81,c:18116,0.0,0.0,2008-02-14,GOCH,,2009-01-31 21:00:07,2009-01-31 21:00:07,2008,2
85,c:13389,0.0,0.0,1999-07-28,DSCM,,2009-02-09 02:19:25,2009-02-09 02:23:42,1999,7
86,c:16531,0.0,0.0,2005-01-01,LYV,,2009-02-10 16:45:46,2009-02-10 16:45:46,2005,1
87,c:21123,0.0,0.0,2009-04-02,CYOU,,2009-04-06 19:46:21,2009-04-06 19:46:21,2009,4
88,c:7618,0.0,0.0,2006-02-08,VG,,2009-04-14 20:27:21,2009-04-14 20:27:21,2006,2
89,c:6234,0.0,0.0,2007-05-08,PROJ,,2009-04-14 21:00:47,2009-04-14 21:00:47,2007,5
90,c:16282,0.0,0.0,2006-10-20,VRAZ,,2009-04-14 21:03:45,2009-04-14 21:03:45,2006,10
91,c:13642,0.0,0.0,2000-01-01,CTCH,,2009-04-29 20:03:03,2009-04-29 20:03:03,2000,1
92,c:17731,0.0,0.0,2006-09-29,NASDAQ:RVBD,,2009-05-11 05:24:58,2012-04-16 03:56:43,2006,9
93,c:14963,0.0,0.0,1999-03-07,NASDAQ:INFA,unLEmoncF,2009-05-12 19:48:35,2012-06-02 00:43:49,1999,3
94,c:13219,0.0,600000000.0,2007-03-01,NASDAQ:CLWR,,2009-05-26 19:59:48,2012-02-24 20:48:31,2007,3
95,c:4303,134000000.0,0.0,2010-11-02,GKNT,,2009-05-28 22:19:39,2010-11-03 17:52:03,2010,11
96,c:24746,5000000.0,0.0,2008-07-23,SOLR,,2009-06-15 21:06:33,2009-06-15 21:14:17,2008,7
97,c:24745,55000000.0,0.0,2008-05-08,RSOL,,2009-06-15 21:13:49,2009-06-15 21:13:49,2008,5
98,c:24773,0.0,0.0,2007-10-23,NASDAQ:LBAS,,2009-06-16 03:42:34,2013-10-07 13:19:25,2007,10
99,c:601,1050000000.0,0.0,2009-05-21,NASDAQ:OPEN,,2009-06-17 06:30:07,2012-02-11 20:40:49,2009,5
100,c:25013,95500000.0,0.0,2007-05-18,ENOC,,2009-06-19 19:07:03,2009-06-19 19:07:03,2007,5
103,c:25703,0.0,0.0,1991-01-01,NYSE:HAE,,2009-06-26 04:54:26,2012-05-01 04:28:39,1991,1
104,c:21287,0.0,0.0,1993-03-26,NASDAQ:MCHP,,2009-06-26 05:17:18,2012-04-13 03:37:22,1993,3
105,c:25706,300000000.0,0.0,2008-08-01,PVS,,2009-06-26 05:21:44,2009-06-26 05:21:44,2008,8
106,c:16612,0.0,0.0,1990-01-02,NASDAQ:MU,,2009-06-26 05:27:31,2012-04-11 03:59:17,1990,1
107,c:25714,0.0,0.0,1990-01-02,NASDAQ:SWKS,,2009-06-26 05:54:21,2012-04-10 04:08:20,1990,1
111,c:5663,0.0,0.0,1978-01-13,NYSE:GSK,,2009-06-26 22:07:13,2013-06-24 07:14:13,1978,1
113,c:25908,50000000.0,0.0,2008-05-14,GWRI,,2009-06-29 06:54:56,2009-06-29 06:54:56,2008,5
114,c:24852,0.0,0.0,2009-06-03,NASDAQ:ITRI,,2009-06-30 23:23:49,2012-05-28 02:36:46,2009,6
115,c:25597,0.0,0.0,2009-01-02,LOCM,,2009-07-01 18:18:23,2009-07-01 18:21:57,2009,1
116,c:15299,803000000.0,0.0,2009-05-20,SWI,,2009-07-01 20:21:42,2012-02-21 21:32:45,2009,5
117,c:11997,0.0,0.0,2009-05-12,DGI,,2009-07-01 20:28:11,2009-07-01 20:28:11,2009,5
118,c:24568,0.0,0.0,2009-06-25,MDSO,,2009-07-02 19:52:25,2009-07-02 19:52:25,2009,6
119,c:14159,0.0,0.0,2006-06-01,LOOP,,2009-07-03 03:31:16,2009-07-03 03:31:16,2006,6
120,c:4825,0.0,0.0,1994-09-23,NASDAQ:SIRI,,2009-07-06 17:31:56,2012-02-22 00:19:58,1994,9
122,c:14008,0.0,0.0,1996-02-02,NASDAQ:OTEX,,2009-07-06 19:29:29,2012-04-17 04:16:41,1996,2
124,c:823,0.0,0.0,1994-07-08,NYSE:NOK,,2009-07-24 17:18:21,2012-04-13 05:14:08,1994,7
125,c:28279,115000000.0,0.0,2009-04-15,RST,,2009-07-27 17:06:46,2009-09-08 20:35:07,2009,4
126,c:28357,0.0,0.0,1999-11-26,NYSE:A,,2009-07-28 20:41:23,2012-04-13 03:47:08,1999,11
127,c:355,0.0,0.0,1978-01-13,NYSE:HPQ,,2009-07-28 20:43:38,2012-04-12 03:59:20,1978,1
129,c:2602,0.0,0.0,1988-07-01,NASDAQ:DELL,,2009-08-10 04:06:11,2012-04-12 04:58:04,1988,7
130,c:29378,85000000.0,0.0,2009-08-11,CPIX,,2009-08-11 22:30:29,2009-08-11 22:30:29,2009,8
131,c:32127,108000000.0,0.0,2007-05-31,JAZZ,,2009-09-20 09:18:39,2009-09-20 09:20:37,2007,5
132,c:32164,69000000.0,0.0,2007-02-08,NGX-4010,,2009-09-21 11:49:35,2009-09-21 11:50:57,2007,2
